v1_x,v1_y,v1_z,v2_x,v2_y,v2_z,v1_idx,v2_idx
0.947,-8.6058,0.033556,1.111,-8.6102,0.032323,3552,3553
-6.4557,-16.434,0.37776,-6.4557,-16.437,0.67487,4860,5472
-3.511,-13.73,-1.9314e-05,-3.6761,-13.58,-1.5314e-05,315,336
-8.9161,-8.4754,-3.0863e-05,-8.7817,-8.4756,-3.0826e-05,1586,1587
-4.7241,-10.876,-2.4226e-05,-4.725,-10.571,-2.3482e-05,811,871
-5.1755,-1.5659,-3.2266e-05,-5.1737,-1.5396,4.5225e-06,2779,4439
-8.0286,-8.9255,-6.8825e-07,-7.8796,-8.9246,-1.1218e-06,1484,1485
-6.0744,-13.123,-2.1215e-05,-6.0768,-12.975,-2.1784e-05,379,400
-2.6229,-9.6719,4.6313e-05,-2.7463,-9.5248,4.6891e-05,3130,3188
-3.5914,-10.271,-2.1334e-05,-3.8073,-10.194,-2.1217e-05,930,949
-2.7294,-7.8303,-9.0309e-06,-2.7493,-7.8748,4.9564e-05,1694,3792
-10.877,-8.0278,-3.1303e-05,-10.858,-8.0216,7.5102e-06,1666,3735
-3.2672,-14.768,2.95,-3.2874,-14.52,2.95,10130,10176
-6.4362,-9.8245,2.0205,-6.436,-9.8252,2.1691,8382,8645
-3.5729,-10.27,1.1251,-3.5728,-10.271,1.2769,6714,6977
-2.8917,-10.397,-2.357e-05,-3.0331,-10.237,-2.2749e-05,908,931
-5.1811,-10.286,-1.7631e-05,-5.2366,-10.186,-1.1662e-05,924,947
-3.2888,-9.9838,1.5751,-3.2888,-9.9838,1.725,7550,7813
-6.8549,-9.9567,1.575,-6.8549,-9.9567,1.725,7546,7809
-5.3739,-7.8275,2.95,-5.2268,-7.6746,2.95,11989,12040
-9.3722,-9.8234,-2.5687e-05,-9.5023,-9.825,3.8691e-06,1074,3059
-5.1741,-10.422,-1.7311e-05,-5.1811,-10.286,-1.7631e-05,896,924
-8.0996,-8.5394,2.95,-8.1715,-8.3246,2.95,11733,11801
-5.774,-4.5751,-2.5867e-06,-5.6231,-4.5757,-2.6358e-06,2212,2213
-5.8498,-16.09,-2.6941e-05,-6.0745,-15.825,-2.2008e-05,19,27
-6.4557,-16.437,0.67487,-6.406,-16.558,0.83296,5472,5764
-3.0121,-9.4381,-2.0799e-05,-2.8628,-9.2881,-2.0832e-05,1338,1401
-9.0643,-3.0832,-6.1105e-05,-9.001,-2.9878,-6.1274e-05,2465,2496
2.4771,-8.601,0.00013065,2.5585,-8.4785,0.00013006,3555,3609
-2.3489,-10.097,1.4251,-2.3489,-10.096,1.5749,7243,7508
-2.4744,-8.3248,4.8106e-05,-2.328,-8.325,4.7739e-05,3636,3637
-0.96791,-7.2749,2.9501,-0.82731,-7.2753,2.9501,12234,12235
-6.2263,-2.474,-3.5671e-05,-6.2264,-2.4599,2.5254e-06,2595,4287
-5.6247,-3.9759,-1.5558e-05,-5.4736,-3.5276,-3.0232e-05,2303,2388
-9.0749,-9.8289,-2.3943e-05,-8.9235,-9.8252,-2.4069e-05,1076,1077
-6.1051,-1.1301,-3.6426e-05,-6.1293,-0.84689,-2.2817e-05,2816,2822
-3.311,-9.7397,-2.069e-05,-3.1609,-9.5893,-2.0749e-05,1188,1267
-3.5745,-13.063,1.8732,-3.5746,-13.063,2.027,7981,8246
-7.5231,-4.9802,2.95,-7.6676,-4.8205,2.95,12595,12620
-6.406,-16.558,0.83296,-6.4134,-16.544,0.91625,5764,6209
-0.38882,-11.647,2.95,-0.55845,-11.515,2.95,10672,10705
-5.0262,-15.371,-1.1988e-05,-4.8764,-15.366,-1.1646e-05,58,59
-8.3209,-8.4735,9.618e-08,-8.3296,-8.2062,1.0316e-07,3577,3691
-6.8549,-9.9567,2.0249,-6.8554,-9.9567,2.1742,8341,8604
-3.3616,-8.7788,2.9502,-3.2292,-8.475,2.9502,11601,11740
-6.4364,-9.8237,1.5752,-6.4364,-9.8236,1.7249,7587,7850
-4.2771,-1.7102,-3.2104e-05,-4.4356,-1.5677,-3.2224e-05,2765,2784
1.1201,-9.5604,-3.0746e-05,0.97887,-9.6758,0.00012011,1296,3154
-5.9413,-1.5863,-3.1024e-05,-6.226,-1.6897,4.9621e-06,2774,4411
-11.571,-8.1765,-3.1233e-05,-11.575,-8.0245,-3.1233e-05,1633,1661
-6.4134,-16.544,0.91625,-6.4557,-16.434,1.123,6209,6641
-10.993,-7.9594,2.3088,-10.993,-7.9595,2.4444,8945,9225
-8.6202,-1.5684,2.95,-8.4564,-1.4994,2.95,13378,13410
-6.4556,-16.268,1.4234,-6.4556,-16.269,1.574,7167,7429
-6.0746,-15.666,-1.953e-05,-5.4695,-15.523,-1.3909e-05,32,44
-3.5746,-13.063,1.1267,-3.5745,-13.063,1.2749,6664,6927
-0.82606,-7.2761,-8.4196e-06,-0.8116,-7.2748,4.5428e-05,1823,3961
-3.6576,-12.972,2.95,-3.5769,-12.826,2.9139,10387,10415
-4.5691,-15.38,2.95,-4.4212,-15.376,2.95,10028,10029
-3.5094,-13.719,2.95,-3.4418,-13.766,2.95,10284,10285
-3.2626,-14.776,-2.1226e-05,-3.2881,-14.495,-1.4106e-05,164,208
-5.4695,-15.523,-1.3909e-05,-5.3253,-15.534,-1.1846e-05,44,45
-8.7722,-2.3232,-2.312e-05,-8.9199,-2.1664,-2.2214e-05,2619,2651
-3.1272,-15.378,2.95,-3.1414,-15.253,2.95,10038,10062
-6.4364,-9.8239,1.2812,-6.4364,-9.8236,1.425,7060,7322
-3.5747,-13.063,1.4259,-3.5745,-13.063,1.5768,7189,7451
-2.7616,-9.2383,-2.1037e-05,-2.746,-9.2251,4.7367e-05,1402,3306
-11.46,-8.178,-3.1271e-05,-11.466,-8.0255,-3.1312e-05,1634,1662
-5.6879,-9.7377,-1.1763e-05,-5.8389,-9.5883,-1.1761e-05,1187,1266
0.96072,-8.9557,0.52514,0.88671,-8.7764,0.51882,5340,5341
-6.0746,-5.4765,-3.6945e-06,-6.0743,-5.3282,-3.5006e-06,2090,2110
-6.4552,-9.6737,2.3922,-6.4339,-9.6749,2.3676,8924,8925
